type,start_node,end_node,section
beam,1,2,section
beam,2,3,section
beam,1,4,section
beam,2,4,section
beam,2,5,section
beam,3,5,section
beam,4,6,section
beam,4,7,section
beam,5,7,section
beam,5,8,section
beam,6,7,section
beam,7,8,section
beam,6,9,section
beam,7,9,section
beam,7,10,section
beam,8,10,section
beam,9,11,section
beam,9,12,section
beam,10,12,section
beam,10,13,section
beam,11,12,section
beam,12,13,section
beam,11,14,section
beam,12,14,section
beam,12,15,section
beam,13,15,section
beam,14,16,section
beam,14,17,section
beam,15,17,section
beam,15,18,section
beam,16,17,section
beam,17,18,section
beam,16,19,section
beam,17,19,section
beam,17,20,section
beam,18,20,section
beam,19,21,section
beam,19,22,section
beam,20,22,section
beam,20,23,section
beam,21,22,section
beam,22,23,section
beam,21,24,section
beam,22,24,section
beam,22,25,section
beam,23,25,section
beam,24,26,section
beam,24,27,section
beam,25,27,section
beam,25,28,section
beam,26,27,section
beam,27,28,section
beam,26,29,section
beam,27,29,section
beam,27,30,section
beam,28,30,section
beam,29,31,section
beam,29,32,section
beam,30,32,section
beam,30,33,section
beam,31,32,section
beam,32,33,section
beam,31,34,section
beam,32,34,section
beam,32,35,section
beam,33,35,section
beam,34,36,section
beam,34,37,section
beam,35,37,section
beam,35,38,section
beam,36,37,section
beam,37,38,section
beam,36,39,section
beam,37,39,section
beam,37,40,section
beam,38,40,section
beam,39,41,section
beam,39,42,section
beam,40,42,section
beam,40,43,section
beam,41,42,section
beam,42,43,section
beam,41,44,section
beam,42,44,section
beam,42,45,section
beam,43,45,section
beam,44,46,section
beam,44,47,section
beam,45,47,section
beam,45,48,section
beam,46,47,section
beam,47,48,section
beam,46,49,section
beam,47,49,section
beam,47,50,section
beam,48,50,section
beam,49,51,section
beam,49,52,section
beam,50,52,section
beam,50,53,section
beam,51,52,section
beam,52,53,section
beam,51,54,section
beam,52,54,section
beam,52,55,section
beam,53,55,section
beam,54,56,section
beam,54,57,section
beam,55,57,section
beam,55,58,section
beam,56,57,section
beam,57,58,section
beam,56,59,section
beam,57,59,section
beam,57,60,section
beam,58,60,section
beam,59,61,section
beam,59,62,section
beam,60,62,section
beam,60,63,section
beam,61,62,section
beam,62,63,section
beam,61,64,section
beam,62,64,section
beam,62,65,section
beam,63,65,section
beam,64,66,section
beam,64,67,section
beam,65,67,section
beam,65,68,section
beam,66,67,section
beam,67,68,section
beam,66,69,section
beam,67,69,section
beam,67,70,section
beam,68,70,section
beam,69,71,section
beam,69,72,section
beam,70,72,section
beam,70,73,section
beam,71,72,section
beam,72,73,section
beam,1,74,section
beam,74,3,section
beam,11,75,section
beam,75,13,section
beam,21,76,section
beam,76,23,section
beam,31,77,section
beam,77,33,section
beam,41,78,section
beam,78,43,section
beam,51,79,section
beam,79,53,section
beam,61,80,section
beam,80,63,section
beam,71,81,section
beam,81,73,section
beam,82,83,section
beam,83,84,section
beam,82,85,section
beam,83,85,section
beam,83,86,section
beam,84,86,section
beam,85,87,section
beam,85,88,section
beam,86,88,section
beam,86,89,section
beam,87,88,section
beam,88,89,section
beam,87,90,section
beam,88,90,section
beam,88,91,section
beam,89,91,section
beam,90,92,section
beam,90,93,section
beam,91,93,section
beam,91,94,section
beam,92,93,section
beam,93,94,section
beam,92,95,section
beam,93,95,section
beam,93,96,section
beam,94,96,section
beam,95,97,section
beam,95,98,section
beam,96,98,section
beam,96,99,section
beam,97,98,section
beam,98,99,section
beam,97,100,section
beam,98,100,section
beam,98,101,section
beam,99,101,section
beam,100,102,section
beam,100,103,section
beam,101,103,section
beam,101,104,section
beam,102,103,section
beam,103,104,section
beam,102,105,section
beam,103,105,section
beam,103,106,section
beam,104,106,section
beam,105,107,section
beam,105,108,section
beam,106,108,section
beam,106,109,section
beam,107,108,section
beam,108,109,section
beam,107,110,section
beam,108,110,section
beam,108,111,section
beam,109,111,section
beam,110,112,section
beam,110,113,section
beam,111,113,section
beam,111,114,section
beam,112,113,section
beam,113,114,section
beam,112,115,section
beam,113,115,section
beam,113,116,section
beam,114,116,section
beam,115,117,section
beam,115,118,section
beam,116,118,section
beam,116,119,section
beam,117,118,section
beam,118,119,section
beam,117,120,section
beam,118,120,section
beam,118,121,section
beam,119,121,section
beam,120,122,section
beam,120,123,section
beam,121,123,section
beam,121,124,section
beam,122,123,section
beam,123,124,section
beam,122,125,section
beam,123,125,section
beam,123,126,section
beam,124,126,section
beam,125,127,section
beam,125,128,section
beam,126,128,section
beam,126,129,section
beam,127,128,section
beam,128,129,section
beam,127,130,section
beam,128,130,section
beam,128,131,section
beam,129,131,section
beam,130,132,section
beam,130,133,section
beam,131,133,section
beam,131,134,section
beam,132,133,section
beam,133,134,section
beam,132,135,section
beam,133,135,section
beam,133,136,section
beam,134,136,section
beam,135,137,section
beam,135,138,section
beam,136,138,section
beam,136,139,section
beam,137,138,section
beam,138,139,section
beam,137,140,section
beam,138,140,section
beam,138,141,section
beam,139,141,section
beam,140,142,section
beam,140,143,section
beam,141,143,section
beam,141,144,section
beam,142,143,section
beam,143,144,section
beam,142,145,section
beam,143,145,section
beam,143,146,section
beam,144,146,section
beam,145,147,section
beam,145,148,section
beam,146,148,section
beam,146,149,section
beam,147,148,section
beam,148,149,section
beam,147,150,section
beam,148,150,section
beam,148,151,section
beam,149,151,section
beam,150,152,section
beam,150,153,section
beam,151,153,section
beam,151,154,section
beam,152,153,section
beam,153,154,section
beam,82,155,section
beam,155,84,section
beam,92,156,section
beam,156,94,section
beam,102,157,section
beam,157,104,section
beam,112,158,section
beam,158,114,section
beam,122,159,section
beam,159,124,section
beam,132,160,section
beam,160,134,section
beam,142,161,section
beam,161,144,section
beam,152,162,section
beam,162,154,section
beam,74,1,section
beam,1,82,section
beam,82,155,section
beam,1,92,section
beam,82,11,section
beam,75,11,section
beam,11,92,section
beam,92,156,section
beam,11,102,section
beam,92,21,section
beam,76,21,section
beam,21,102,section
beam,102,157,section
beam,21,112,section
beam,102,31,section
beam,77,31,section
beam,31,112,section
beam,112,158,section
beam,31,122,section
beam,112,41,section
beam,78,41,section
beam,41,122,section
beam,122,159,section
beam,41,132,section
beam,122,51,section
beam,79,51,section
beam,51,132,section
beam,132,160,section
beam,51,142,section
beam,132,61,section
beam,80,61,section
beam,61,142,section
beam,142,161,section
beam,61,152,section
beam,142,71,section
beam,81,71,section
beam,71,152,section
beam,152,162,section
